Data created using the Lorantz line parameters in J.R. Aronson and P.F.
Strong, Optical constants of minerals and rocks, Applied Optics, 14, 
2914-2920, 1975.  These could be recalculated at any spectral resolution.
Range of validity is given as 1600-250 inverse centimeters.  Be sure to
check the reference for a description of the sample.

high frq. dielec. const=  1.982
Lorentz line parameters
center  width  strength
 8.1833  1222.0  0.0341  0.9273  0.3542
 8.1699  1224.0  0.0326  0.9355  0.3493
 8.1566  1226.0  0.0313  0.9436  0.3447
 8.1433  1228.0  0.0301  0.9517  0.3404
 8.1301  1230.0  0.0290  0.9597  0.3363
 8.1169  1232.0  0.0280  0.9677  0.3326
 8.1037  1234.0  0.0271  0.9755  0.3291
 8.0906  1236.0  0.0263  0.9833  0.3258
 8.0775  1238.0  0.0256  0.9911  0.3228
 8.0645  1240.0  0.0250  0.9987  0.3200
 8.0515  1242.0  0.0244   1.006  0.3175
 8.0386  1244.0  0.0239   1.014  0.3151
 8.0257  1246.0  0.0235   1.021  0.3130
 8.0128  1248.0  0.0232   1.029  0.3111
 8.0000  1250.0  0.0229   1.036  0.3093
 7.9872  1252.0  0.0226   1.043  0.3078
 7.9745  1254.0  0.0224   1.050  0.3065
 7.9618  1256.0  0.0223   1.057  0.3053
 7.9491  1258.0  0.0222   1.064  0.3044
 7.9365  1260.0  0.0222   1.071  0.3036
 7.9239  1262.0  0.0222   1.077  0.3030
 7.9114  1264.0  0.0222   1.084  0.3026
 7.8989  1266.0  0.0223   1.091  0.3023
 7.8864  1268.0  0.0224   1.097  0.3022
 7.8740  1270.0  0.0226   1.104  0.3023
 7.8616  1272.0  0.0228   1.110  0.3026
 7.8493  1274.0  0.0230   1.116  0.3030
 7.8370  1276.0  0.0233   1.122  0.3036
 7.8247  1278.0  0.0236   1.128  0.3043
 7.8125  1280.0  0.0239   1.134  0.3053
 7.8003  1282.0  0.0243   1.140  0.3063
 7.7882  1284.0  0.0246   1.146  0.3076
 7.7760  1286.0  0.0251   1.151  0.3090
 7.7640  1288.0  0.0255   1.157  0.3106
 7.7519  1290.0  0.0259   1.162  0.3123
 7.7399  1292.0  0.0264   1.167  0.3142
 7.7280  1294.0  0.0269   1.172  0.3163
 7.7160  1296.0  0.0274   1.177  0.3185
 7.7042  1298.0  0.0280   1.182  0.3209
 7.6923  1300.0  0.0285   1.187  0.3235
 7.6805  1302.0  0.0291   1.191  0.3262
 7.6687  1304.0  0.0297   1.195  0.3290
 7.6570  1306.0  0.0303   1.199  0.3320
 7.6453  1308.0  0.0309   1.203  0.3351
 7.6336  1310.0  0.0316   1.207  0.3384
 7.6220  1312.0  0.0322   1.211  0.3418
 7.6104  1314.0  0.0329   1.214  0.3453
 7.5988  1316.0  0.0335   1.217  0.3490
 7.5873  1318.0  0.0342   1.220  0.3527
 7.5758  1320.0  0.0349   1.223  0.3566
 7.5643  1322.0  0.0355   1.225  0.3605
 7.5529  1324.0  0.0362   1.227  0.3645
 7.5415  1326.0  0.0369   1.229  0.3685
 7.5301  1328.0  0.0375   1.230  0.3726
