Fibroferrite optical constants from Roush, J. Geophys.
Res., 101, 2215-2224, 1996.  From best fit oscillators
given in Table 5.
  wavelength  calc. ref.  real index  imag. index
 7.2626E+00  2.2543E-02  1.3512E+00   1.4981E-02
 7.2728E+00  2.2380E-02  1.3497E+00   1.5188E-02
 7.2830E+00  2.2215E-02  1.3481E+00   1.5401E-02
 7.2932E+00  2.2048E-02  1.3466E+00   1.5619E-02
 7.3035E+00  2.1879E-02  1.3450E+00   1.5845E-02
 7.3138E+00  2.1708E-02  1.3434E+00   1.6079E-02
 7.3241E+00  2.1535E-02  1.3418E+00   1.6320E-02
 7.3345E+00  2.1359E-02  1.3401E+00   1.6569E-02
 7.3449E+00  2.1182E-02  1.3384E+00   1.6826E-02
 7.3553E+00  2.1002E-02  1.3367E+00   1.7091E-02
 7.3657E+00  2.0820E-02  1.3350E+00   1.7363E-02
 7.3762E+00  2.0636E-02  1.3332E+00   1.7646E-02
 7.3867E+00  2.0449E-02  1.3314E+00   1.7938E-02
 7.3973E+00  2.0260E-02  1.3296E+00   1.8240E-02
 7.4078E+00  2.0068E-02  1.3278E+00   1.8552E-02
 7.4185E+00  1.9874E-02  1.3259E+00   1.8874E-02
 7.4291E+00  1.9677E-02  1.3240E+00   1.9208E-02
 7.4397E+00  1.9478E-02  1.3220E+00   1.9551E-02
 7.4504E+00  1.9276E-02  1.3200E+00   1.9908E-02
 7.4611E+00  1.9071E-02  1.3180E+00   2.0277E-02
 7.4719E+00  1.8863E-02  1.3160E+00   2.0660E-02
 7.4827E+00  1.8653E-02  1.3139E+00   2.1056E-02
 7.4935E+00  1.8439E-02  1.3117E+00   2.1467E-02
 7.5043E+00  1.8224E-02  1.3096E+00   2.1890E-02
 7.5152E+00  1.8004E-02  1.3074E+00   2.2332E-02
 7.5261E+00  1.7782E-02  1.3051E+00   2.2790E-02
 7.5370E+00  1.7556E-02  1.3028E+00   2.3265E-02
 7.5480E+00  1.7327E-02  1.3005E+00   2.3759E-02
 7.5590E+00  1.7095E-02  1.2981E+00   2.4272E-02
 7.5701E+00  1.6859E-02  1.2956E+00   2.4805E-02
 7.5811E+00  1.6621E-02  1.2932E+00   2.5357E-02
 7.5922E+00  1.6379E-02  1.2906E+00   2.5934E-02
 7.6033E+00  1.6133E-02  1.2880E+00   2.6534E-02
 7.6145E+00  1.5884E-02  1.2854E+00   2.7160E-02
 7.6257E+00  1.5631E-02  1.2827E+00   2.7813E-02
 7.6370E+00  1.5375E-02  1.2799E+00   2.8493E-02
 7.6482E+00  1.5116E-02  1.2771E+00   2.9200E-02
 7.6595E+00  1.4853E-02  1.2742E+00   2.9942E-02
 7.6708E+00  1.4586E-02  1.2712E+00   3.0717E-02
 7.6822E+00  1.4315E-02  1.2682E+00   3.1529E-02
 7.6936E+00  1.4040E-02  1.2651E+00   3.2378E-02
 7.7051E+00  1.3762E-02  1.2619E+00   3.3268E-02
 7.7165E+00  1.3480E-02  1.2587E+00   3.4200E-02
 7.7280E+00  1.3196E-02  1.2554E+00   3.5174E-02
 7.7395E+00  1.2906E-02  1.2520E+00   3.6202E-02
 7.7511E+00  1.2614E-02  1.2485E+00   3.7283E-02
 7.7627E+00  1.2318E-02  1.2449E+00   3.8420E-02
 7.7744E+00  1.2019E-02  1.2412E+00   3.9618E-02
