From Marzo et al. (2004) Adv. Space Res., 33, 2246-2251
selenite
  Wavelength
  (microns)       n           k       Q/a theor   Q/a experim
  0.2086D+01  0.1392D+01  0.3332D-02  0.2738D+03  0.2823D+03
  0.2088D+01  0.1392D+01  0.3331D-02  0.2735D+03  0.2834D+03
  0.2090D+01  0.1392D+01  0.3330D-02  0.2731D+03  0.2846D+03
  0.2092D+01  0.1392D+01  0.3330D-02  0.2728D+03  0.2850D+03
  0.2094D+01  0.1392D+01  0.3330D-02  0.2725D+03  0.2859D+03
  0.2096D+01  0.1392D+01  0.3330D-02  0.2722D+03  0.2862D+03
  0.2099D+01  0.1392D+01  0.3330D-02  0.2720D+03  0.2863D+03
  0.2101D+01  0.1391D+01  0.3331D-02  0.2718D+03  0.2867D+03
  0.2103D+01  0.1391D+01  0.3333D-02  0.2716D+03  0.2870D+03
  0.2105D+01  0.1391D+01  0.3334D-02  0.2715D+03  0.2878D+03
  0.2108D+01  0.1391D+01  0.3336D-02  0.2714D+03  0.2881D+03
  0.2110D+01  0.1391D+01  0.3339D-02  0.2713D+03  0.2879D+03
  0.2112D+01  0.1391D+01  0.3342D-02  0.2712D+03  0.2897D+03
  0.2114D+01  0.1391D+01  0.3345D-02  0.2712D+03  0.2892D+03
  0.2117D+01  0.1391D+01  0.3349D-02  0.2712D+03  0.2911D+03
  0.2119D+01  0.1391D+01  0.3353D-02  0.2713D+03  0.2908D+03
  0.2121D+01  0.1391D+01  0.3357D-02  0.2713D+03  0.2924D+03
  0.2123D+01  0.1391D+01  0.3362D-02  0.2715D+03  0.2922D+03
  0.2125D+01  0.1391D+01  0.3368D-02  0.2716D+03  0.2935D+03
  0.2128D+01  0.1391D+01  0.3374D-02  0.2718D+03  0.2947D+03
  0.2130D+01  0.1391D+01  0.3380D-02  0.2721D+03  0.2947D+03
  0.2132D+01  0.1391D+01  0.3388D-02  0.2723D+03  0.2940D+03
  0.2134D+01  0.1391D+01  0.3395D-02  0.2726D+03  0.2948D+03
  0.2137D+01  0.1391D+01  0.3402D-02  0.2730D+03  0.2955D+03
  0.2139D+01  0.1391D+01  0.3411D-02  0.2734D+03  0.2965D+03
  0.2141D+01  0.1390D+01  0.3420D-02  0.2738D+03  0.2971D+03
  0.2144D+01  0.1390D+01  0.3430D-02  0.2743D+03  0.2979D+03
  0.2146D+01  0.1390D+01  0.3440D-02  0.2748D+03  0.2976D+03
  0.2148D+01  0.1390D+01  0.3450D-02  0.2753D+03  0.2986D+03
  0.2151D+01  0.1390D+01  0.3461D-02  0.2759D+03  0.2991D+03
  0.2153D+01  0.1390D+01  0.3473D-02  0.2766D+03  0.2997D+03
  0.2155D+01  0.1390D+01  0.3486D-02  0.2772D+03  0.3010D+03
  0.2157D+01  0.1390D+01  0.3498D-02  0.2780D+03  0.3018D+03
  0.2160D+01  0.1390D+01  0.3512D-02  0.2787D+03  0.3033D+03
  0.2162D+01  0.1390D+01  0.3525D-02  0.2795D+03  0.3037D+03
  0.2164D+01  0.1390D+01  0.3539D-02  0.2804D+03  0.3047D+03
  0.2167D+01  0.1390D+01  0.3555D-02  0.2813D+03  0.3062D+03
  0.2169D+01  0.1390D+01  0.3570D-02  0.2822D+03  0.3076D+03
  0.2172D+01  0.1390D+01  0.3588D-02  0.2832D+03  0.3077D+03
