From Roush 1995, Optical constants of amorphous carbon
in the mid-IR (2.5-25 mm, 4000-400 cm-1), Planet. Space
Sci., 43 (10/11), 1297-1301.

 wavelength  calculated     real      imaginary
  (microns) reflectance     index       index
 2.9116E+00  9.6623E-02  1.7600E+00   4.1847E-01
 2.9132E+00  9.6691E-02  1.7602E+00   4.1882E-01
 2.9148E+00  9.6759E-02  1.7605E+00   4.1918E-01
 2.9165E+00  9.6827E-02  1.7608E+00   4.1954E-01
 2.9181E+00  9.6896E-02  1.7610E+00   4.1989E-01
 2.9198E+00  9.6964E-02  1.7613E+00   4.2025E-01
 2.9214E+00  9.7032E-02  1.7616E+00   4.2060E-01
 2.9230E+00  9.7100E-02  1.7618E+00   4.2095E-01
 2.9247E+00  9.7167E-02  1.7621E+00   4.2130E-01
 2.9263E+00  9.7235E-02  1.7624E+00   4.2165E-01
 2.9280E+00  9.7302E-02  1.7626E+00   4.2199E-01
 2.9297E+00  9.7369E-02  1.7629E+00   4.2234E-01
 2.9313E+00  9.7436E-02  1.7632E+00   4.2268E-01
 2.9330E+00  9.7503E-02  1.7634E+00   4.2302E-01
 2.9346E+00  9.7570E-02  1.7637E+00   4.2336E-01
 2.9363E+00  9.7637E-02  1.7640E+00   4.2370E-01
 2.9379E+00  9.7703E-02  1.7642E+00   4.2404E-01
 2.9396E+00  9.7770E-02  1.7645E+00   4.2437E-01
 2.9413E+00  9.7836E-02  1.7648E+00   4.2471E-01
 2.9430E+00  9.7902E-02  1.7650E+00   4.2504E-01
 2.9446E+00  9.7967E-02  1.7653E+00   4.2537E-01
 2.9463E+00  9.8033E-02  1.7656E+00   4.2570E-01
 2.9480E+00  9.8099E-02  1.7658E+00   4.2603E-01
 2.9496E+00  9.8164E-02  1.7661E+00   4.2636E-01
 2.9513E+00  9.8229E-02  1.7663E+00   4.2669E-01
 2.9530E+00  9.8294E-02  1.7666E+00   4.2701E-01
 2.9547E+00  9.8359E-02  1.7669E+00   4.2734E-01
 2.9564E+00  9.8424E-02  1.7671E+00   4.2766E-01
 2.9581E+00  9.8488E-02  1.7674E+00   4.2798E-01
 2.9597E+00  9.8552E-02  1.7676E+00   4.2830E-01
 2.9614E+00  9.8617E-02  1.7679E+00   4.2862E-01
 2.9631E+00  9.8680E-02  1.7682E+00   4.2894E-01
 2.9648E+00  9.8744E-02  1.7684E+00   4.2926E-01
 2.9665E+00  9.8807E-02  1.7687E+00   4.2957E-01
 2.9682E+00  9.8871E-02  1.7689E+00   4.2988E-01
 2.9699E+00  9.8934E-02  1.7692E+00   4.3020E-01
 2.9716E+00  9.8997E-02  1.7694E+00   4.3051E-01
 2.9733E+00  9.9060E-02  1.7697E+00   4.3082E-01
 2.9750E+00  9.9123E-02  1.7699E+00   4.3113E-01
 2.9767E+00  9.9185E-02  1.7702E+00   4.3144E-01
 2.9784E+00  9.9247E-02  1.7705E+00   4.3175E-01
 2.9802E+00  9.9310E-02  1.7707E+00   4.3206E-01
 2.9819E+00  9.9371E-02  1.7710E+00   4.3236E-01
 2.9836E+00  9.9433E-02  1.7712E+00   4.3267E-01
 2.9853E+00  9.9495E-02  1.7715E+00   4.3298E-01
 2.9870E+00  9.9556E-02  1.7717E+00   4.3328E-01
 2.9887E+00  9.9617E-02  1.7719E+00   4.3358E-01
 2.9905E+00  9.9678E-02  1.7722E+00   4.3388E-01
 2.9922E+00  9.9739E-02  1.7724E+00   4.3418E-01
 2.9939E+00  9.9799E-02  1.7727E+00   4.3449E-01
 2.9956E+00  9.9860E-02  1.7729E+00   4.3479E-01
 2.9974E+00  9.9920E-02  1.7732E+00   4.3509E-01
 2.9991E+00  9.9980E-02  1.7734E+00   4.3538E-01
 3.0008E+00  1.0004E-01  1.7736E+00   4.3568E-01
 3.0026E+00  1.0010E-01  1.7739E+00   4.3598E-01
 3.0043E+00  1.0016E-01  1.7741E+00   4.3627E-01
 3.0061E+00  1.0022E-01  1.7744E+00   4.3657E-01
 3.0078E+00  1.0028E-01  1.7746E+00   4.3687E-01
 3.0096E+00  1.0034E-01  1.7748E+00   4.3716E-01
